BldgArea,BldgDepth,BuiltFAR,CommFAR,FacilFAR,Lot,LotArea,LotDepth,NumBldgs,NumFloors,OfficeArea,ResArea,ResidFAR,RetailArea,Complaint Type
2080.0,52.0,0.88,,1.0,12,2375.0,95.0,1.0,2.0,,2080.0,0.6,,0
2160.0,36.0,0.81,,2.0,50,2656.0,94.0,1.0,3.0,,2160.0,1.25,,0
2760.0,43.0,0.31,,2.0,1715,8789.0,108.5,2.0,2.0,,2760.0,0.9,,0
2130.0,39.83,0.83,,2.0,26,2574.0,100.0,1.0,,,2130.0,0.9,,0
1954.0,30.0,0.32,,2.0,13,6050.0,121.0,1.0,2.0,,1248.0,1.1,,0
1665.0,32.0,0.97,,2.0,5,1710.0,95.0,1.0,2.0,,1152.0,0.9,,0
1920.0,60.0,0.67,,2.0,94,2845.0,109.42,1.0,2.0,,1920.0,0.9,,1
2952.0,50.0,1.18,,2.0,11,2500.0,100.0,2.0,2.0,,1926.0,0.9,,0
2094.0,50.0,0.84,,2.0,114,2500.0,100.0,1.0,2.0,,2094.0,0.9,,0
7500.0,100.0,1.0,,4.0,102,7500.0,100.0,1.0,1.0,,,4.0,,0
95625.0,500.0,0.56,1.0,2.4,1,170235.0,842.72,1.0,1.0,13125.0,,,,0
76000.0,90.0,1.21,,4.8,26,62716.0,275.25,2.0,5.0,76000.0,,3.44,,0
2887.0,50.0,0.91,,2.0,45,3167.0,95.0,1.0,2.0,,2100.0,0.9,,0
2535.0,47.0,0.86,,2.0,30,2931.0,100.0,1.0,2.0,,1690.0,2.0,,0
2412.0,45.0,0.48,,1.0,8,5000.0,100.0,1.0,2.5,,1912.0,0.6,,0
3744.0,52.0,1.06,,1.0,99,3537.0,112.42,1.0,3.0,,2808.0,0.6,,0
2920.0,52.0,1.28,,2.0,84,2285.0,114.25,1.0,3.0,,2920.0,1.25,,0
,,,1.0,2.4,37,9979.0,100.0,,,,,,,0
5429.0,,1.22,,2.0,22,4440.0,103.0,2.0,3.0,,5429.0,1.25,,0
2604.0,45.0,0.52,,2.0,18,5000.0,100.0,3.0,2.0,,2604.0,0.9,,0
